image_size,mode,n,metric,mean,standard_deviation,ci95_between_seed_lower,ci95_between_seed_upper,minimum,maximum
224,deterministic,3,accuracy,0.769087150763486,0.013108854384917304,0.736520322947694,0.801653978579278,0.7539507901580316,0.7767553510702141
224,deterministic,3,macro_precision,0.8030483287215623,0.011017554821288024,0.7756769963167436,0.830419661126381,0.7913449479391653,0.8132197034689091
224,deterministic,3,macro_recall,0.8698843741770897,0.007089370658248171,0.8522719797778401,0.8874967685763394,0.8625168235870683,0.876658226341312
224,deterministic,3,macro_f1,0.8198862507724284,0.006106013969971817,0.8047168469662737,0.8350556545785831,0.8147922274131972,0.8266548262752257
224,deterministic,3,weighted_f1,0.7742451537728696,0.010970423499284784,0.7469909115121124,0.8014993960336269,0.7624348031371707,0.7841173059182346
224,deterministic,3,top5_accuracy,0.8834433553377341,0.009932411112284014,0.8587678869107154,0.9081188237647528,0.8719743948789758,0.8891778355671134
224,deterministic,3,negative_log_likelihood,0.8923594386159991,0.040329776574900104,0.7921666337378465,0.9925522434941517,0.8594018439711049,0.9373310173926759
224,deterministic,3,multiclass_brier,0.3036788259232111,0.011417806135191663,0.27531313388633016,0.33204451796009204,0.2931361006129153,0.3158061716744989
224,deterministic,3,expected_calibration_error,0.04787371896374757,0.012364738812100583,0.017155525896912247,0.0785919120305829,0.0360570809699388,0.06072192742547219
224,mc_dropout,3,accuracy,0.7802893912115757,0.006863831023515519,0.7632373135443836,0.7973414688787678,0.7729545909181836,0.7865573114622925
224,mc_dropout,3,macro_precision,0.7981432213471185,0.003003214190746474,0.7906822215852692,0.8056042211089677,0.7948001918686446,0.8006131162621126
224,mc_dropout,3,macro_recall,0.8683311188338697,0.008420478237036486,0.847411803017248,0.8892504346504914,0.8593730398966453,0.8760841573947614
224,mc_dropout,3,macro_f1,0.8212373203753821,0.005341698228434594,0.807966735369151,0.8345079053816132,0.8151059428988308,0.8248847286712544
224,mc_dropout,3,weighted_f1,0.7845564242057925,0.004371477185604726,0.7736961964067826,0.7954166520048025,0.7795660159531492,0.7877086533607276
224,mc_dropout,3,top5_accuracy,0.8906447956257919,0.003557863991986113,0.8818058581704844,0.8994837330810994,0.8867773554710943,0.8937787557511502
224,mc_dropout,3,negative_log_likelihood,0.9562036184144634,0.024434489449266614,0.8955000826747862,1.0169071541541408,0.9279891564292447,0.9703595916865735
224,mc_dropout,3,multiclass_brier,0.32200207315869034,0.009626459604607458,0.2980866917520865,0.34591745456529416,0.3117656674472208,0.3308727049746833
224,mc_dropout,3,expected_calibration_error,0.13842041577654235,0.015453809560544126,0.10002792622113593,0.17681290533194877,0.1282685997844291,0.15620560006907905
300,deterministic,3,accuracy,0.7514836300593452,0.01656390858420331,0.7103332790844402,0.7926339810342501,0.7379475895179036,0.7699539907981596
300,deterministic,3,macro_precision,0.7867159207510729,0.011625278982688147,0.7578347959919669,0.8155970455101789,0.7786596287903514,0.8000429500680521
300,deterministic,3,macro_recall,0.8583460857548272,0.010698207185739309,0.8317681208827398,0.8849240506269146,0.8461187758118456,0.8659833238903434
300,deterministic,3,macro_f1,0.8024755875077156,0.012118613644764983,0.772368852598122,0.8325823224173092,0.7906559346329829,0.8148725281811426
300,deterministic,3,weighted_f1,0.7518776440787315,0.01892566309628432,0.7048598961307845,0.7988953920266785,0.7391693613967067,0.7736283885220313
300,deterministic,3,top5_accuracy,0.8841768353670734,0.006941128854929987,0.8669327237438778,0.901420946990269,0.8781756351270255,0.8917783556711343
300,deterministic,3,negative_log_likelihood,0.9611852970726752,0.03561246561923696,0.872711888042217,1.0496587061031333,0.9201267068968897,0.9836873661121402
300,deterministic,3,multiclass_brier,0.3368739991131075,0.014132412928766819,0.3017643056983747,0.3719836925278403,0.3214077426021498,0.3491150401164243
300,deterministic,3,expected_calibration_error,0.04853864301053446,0.012220131762611709,0.0181797027619372,0.07889758325913172,0.03675402800162619,0.06115209306030424
300,mc_dropout,3,accuracy,0.7642195105687805,0.011726394636266813,0.7350871803280294,0.7933518408095315,0.7529505901180236,0.7763552710542109
300,mc_dropout,3,macro_precision,0.7820557349433583,0.007947375325410256,0.7623117667665585,0.8017997031201581,0.7755310252222265,0.790906640318518
300,mc_dropout,3,macro_recall,0.8636496154477685,0.00015494589164550228,0.863264677448931,0.8640345534466061,0.8634837315085616,0.8637906101380034
300,mc_dropout,3,macro_f1,0.808425456621681,0.005551049225110231,0.794634772935458,0.8222161403079039,0.8037632078708429,0.8145660067987895
300,mc_dropout,3,weighted_f1,0.764827895941392,0.01320637082557337,0.7320188043061384,0.7976369875766456,0.7527284564953856,0.778915706495051
300,mc_dropout,3,top5_accuracy,0.8851103554044143,0.006380408729162164,0.8692592622138394,0.9009614485949892,0.8797759551910382,0.8921784356871374
300,mc_dropout,3,negative_log_likelihood,1.0333027078699504,0.035059031110347735,0.9462042173357301,1.1204011984041706,0.9982173696569643,1.0683353725240876
300,mc_dropout,3,multiclass_brier,0.3513825439930754,0.015861156380247186,0.3119780671694418,0.39078702081670896,0.3400429539246712,0.36950772157977535
300,mc_dropout,3,expected_calibration_error,0.1444894241316522,0.0066852448301846935,0.12788101496803084,0.16109783329527355,0.13725161324097743,0.15043277974264888
